import time: self [us] | cumulative | imported package
import time:       491 |       1030 |                                   scipy.sparse.linalg._eigen.lobpcg
import time:       612 |        612 |                                       scipy.sparse.linalg._propack
import time:       384 |        995 |                                     scipy.sparse.linalg._svdp
import time:      1463 |       2457 |                                   scipy.sparse.linalg._eigen._svds
import time:       432 |       5936 |                                 scipy.sparse.linalg._eigen
import time:       417 |        417 |                                     scipy.sparse.linalg._onenormest
import time:       517 |        933 |                                   scipy.sparse.linalg._expm_multiply
import time:       526 |       1459 |                                 scipy.sparse.linalg._matfuncs
import time:       360 |        360 |                                 scipy.sparse.linalg._norm
import time:       351 |        351 |                                 scipy.sparse.linalg._funm_multiply_krylov
import time:       488 |        488 |                                 scipy.sparse.linalg._special_sparse_arrays
import time:       426 |        426 |                                 scipy.sparse.linalg.isolve
import time:       378 |        378 |                                 scipy.sparse.linalg.dsolve
import time:       374 |        374 |                                 scipy.sparse.linalg.interface
import time:       370 |        370 |                                 scipy.sparse.linalg.eigen
import time:       549 |        549 |                                 scipy.sparse.linalg.matfuncs
import time:       569 |      18555 |                               scipy.sparse.linalg
import time:       399 |        399 |                                 scipy.optimize._dcsrch
import time:       456 |        855 |                               scipy.optimize._linesearch
import time:       548 |        548 |                                 scipy.optimize._group_columns
import time:       506 |       1054 |                               scipy.optimize._numdiff
import time:       536 |        536 |                                 scipy.optimize._hessian_update_strategy
import time:       846 |       1382 |                               scipy.optimize._differentiable_functions
import time:      3908 |      25752 |                             scipy.optimize._optimize
import time:       393 |        393 |                                 scipy.optimize._trustregion
import time:       389 |        781 |                               scipy.optimize._trustregion_dogleg
import time:       331 |        331 |                               scipy.optimize._trustregion_ncg
import time:       741 |        741 |                                   scipy.optimize._trlib._trlib
import time:       475 |       1215 |                                 scipy.optimize._trlib
import time:       424 |       1639 |                               scipy.optimize._trustregion_krylov
import time:       388 |        388 |                               scipy.optimize._trustregion_exact
import time:       510 |        510 |                                   scipy.optimize._constraints
import time:       363 |        363 |                                         sksparse
import time:        28 |        391 |                                       sksparse.cholmod
import time:       398 |        788 |                                     scipy.optimize._trustregion_constr.projections
import time:       346 |        346 |                                     scipy.optimize._trustregion_constr.qp_subproblem
import time:       417 |       1550 |                                   scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       455 |        455 |                                   scipy.optimize._trustregion_constr.canonical_constraint
import time:       453 |        453 |                                   scipy.optimize._trustregion_constr.tr_interior_point
import time:       418 |        418 |                                   scipy.optimize._trustregion_constr.report
import time:       627 |       4009 |                                 scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       360 |       4369 |                               scipy.optimize._trustregion_constr
import time:       682 |        682 |                                 scipy.optimize._lbfgsb
import time:       436 |       1117 |                               scipy.optimize._lbfgsb_py
import time:       537 |        537 |                                 scipy.optimize._moduleTNC
import time:       380 |        917 |                               scipy.optimize._tnc
import time:       380 |        380 |                               scipy.optimize._cobyla_py
import time:       312 |        312 |                               scipy.optimize._cobyqa_py
import time:       667 |        667 |                                 scipy.optimize._slsqplib
import time:       432 |       1099 |                               scipy.optimize._slsqp_py
import time:       617 |      11946 |                             scipy.optimize._minimize
import time:       413 |        413 |                                 scipy.optimize._minpack
import time:       423 |        423 |                                       scipy.optimize._lsq.common
import time:       517 |        940 |                                     scipy.optimize._lsq.trf
import time:       368 |        368 |                                     scipy.optimize._lsq.dogbox
import time:       689 |       1995 |                                   scipy.optimize._lsq.least_squares
import time:       472 |        472 |                                       scipy.optimize._lsq.givens_elimination
import time:       583 |       1054 |                                     scipy.optimize._lsq.trf_linear
import time:       341 |        341 |                                     scipy.optimize._lsq.bvls
import time:       430 |       1825 |                                   scipy.optimize._lsq.lsq_linear
import time:       419 |       4238 |                                 scipy.optimize._lsq
import time:       484 |       5134 |                               scipy.optimize._minpack_py
import time:       367 |        367 |                               scipy.optimize._spectral
import time:      1999 |       1999 |                               scipy.optimize._nonlin
import time:       425 |       7923 |                             scipy.optimize._root
import time:       383 |        383 |                                 scipy.optimize._zeros
import time:       509 |        892 |                               scipy.optimize._zeros_py
import time:       489 |       1381 |                             scipy.optimize._root_scalar
import time:       621 |        621 |                             scipy.optimize._nnls
import time:      1521 |       1521 |                             scipy.optimize._basinhopping
import time:       452 |        452 |                                   scipy.optimize._highspy
import time:      4758 |       4758 |                                   scipy.optimize._highspy._core
import time:       730 |        730 |                                   scipy.optimize._highspy._highs_options
import time:       785 |       6723 |                                 scipy.optimize._highspy._highs_wrapper
import time:       366 |       7089 |                               scipy.optimize._linprog_highs
import time:       694 |        694 |                                       scipy.linalg._decomp_interpolative
import time:       380 |       1074 |                                     scipy.linalg.interpolative
import time:       446 |       1519 |                                   scipy.optimize._remove_redundancy
import time:       744 |       2262 |                                 scipy.optimize._linprog_util
import time:       389 |        389 |                                 sksparse
import time:       655 |        655 |                                   scikits
import time:        28 |        682 |                                 scikits.umfpack
import time:       509 |       3841 |                               scipy.optimize._linprog_ip
import time:       375 |        375 |                               scipy.optimize._linprog_simplex
import time:       519 |        519 |                                 scipy.optimize._bglu_dense
import time:       384 |        902 |                               scipy.optimize._linprog_rs
import time:       366 |        366 |                               scipy.optimize._linprog_doc
import time:       429 |      12999 |                             scipy.optimize._linprog
import time:       378 |        378 |                             scipy.optimize._lsap
import time:      2543 |       2543 |                             scipy.optimize._differentialevolution
import time:       557 |        557 |                               scipy.optimize._pava_pybind
import time:       364 |        920 |                             scipy.optimize._isotonic
import time:       370 |        370 |                                 scipy.optimize._shgo_lib
import time:      1158 |       1158 |                                   _decimal
import time:       489 |       1647 |                                 decimal
import time:       535 |        535 |                                 scipy.optimize._shgo_lib._vertex
import time:       622 |       3173 |                               scipy.optimize._shgo_lib._complex
import time:       779 |       3952 |                             scipy.optimize._shgo
import time:      1240 |       1240 |                             scipy.optimize._dual_annealing
import time:       391 |        391 |                             scipy.optimize._qap
import time:       363 |        363 |                               scipy.optimize._direct
import time:       460 |        823 |                             scipy.optimize._direct_py
import time:       349 |        349 |                             scipy.optimize._milp
import time:       291 |        291 |                             scipy.optimize.cobyla
import time:       291 |        291 |                             scipy.optimize.lbfgsb
import time:       286 |        286 |                             scipy.optimize.linesearch
import time:       285 |        285 |                             scipy.optimize.minpack
import time:       284 |        284 |                             scipy.optimize.minpack2
import time:       284 |        284 |                             scipy.optimize.moduleTNC
import time:       288 |        288 |                             scipy.optimize.nonlin
import time:       293 |        293 |                             scipy.optimize.optimize
import time:       285 |        285 |                             scipy.optimize.slsqp
import time:       284 |        284 |                             scipy.optimize.tnc
import time:       284 |        284 |                             scipy.optimize.zeros
import time:       761 |      76642 |                           scipy.optimize
import time:       458 |        458 |                           scipy.interpolate._dierckx
import time:      2506 |      79605 |                         scipy.interpolate._bsplines
import time:      3591 |      85375 |                       scipy.interpolate._fitpack_py
import time:       687 |        687 |                       scipy.interpolate._polyint
import time:       595 |        595 |                       scipy.interpolate._ppoly
import time:       609 |        609 |                       scipy.interpolate._interpnd
import time:      2152 |      89416 |                     scipy.interpolate._interpolate
import time:      4743 |       4743 |                     scipy.interpolate._fitpack2
import time:       830 |        830 |                     scipy.interpolate._rbf
import time:       321 |        321 |                         scipy.interpolate._rbfinterp_common
import time:       487 |        487 |                         scipy.interpolate._rbfinterp_pythran
import time:       343 |       1150 |                       scipy.interpolate._rbfinterp_np
import time:       330 |        330 |                       scipy.interpolate._rbfinterp_xp
import time:      1101 |       2580 |                     scipy.interpolate._rbfinterp
import time:      2349 |       2349 |                     scipy.interpolate._cubic
import time:       417 |        417 |                     scipy.interpolate._ndgriddata
import time:      2149 |       2149 |                     scipy.interpolate._fitpack_repro
import time:       383 |        383 |                     scipy.interpolate._pade
import time:       504 |        504 |                       scipy.interpolate._rgi_cython
import time:       797 |        797 |                       scipy.interpolate._ndbspline
import time:      1279 |       2579 |                     scipy.interpolate._rgi
import time:       484 |        484 |                     scipy.interpolate._bary_rational
import time:       310 |        310 |                     scipy.interpolate.fitpack
import time:       298 |        298 |                     scipy.interpolate.fitpack2
import time:       294 |        294 |                     scipy.interpolate.interpolate
import time:       292 |        292 |                     scipy.interpolate.ndgriddata
import time:       290 |        290 |                     scipy.interpolate.polyint
import time:       286 |        286 |                     scipy.interpolate.rbf
import time:       287 |        287 |                     scipy.interpolate.interpnd
import time:       679 |     108658 |                   scipy.interpolate
import time:        64 |         64 |                     cmath
import time:       333 |        333 |                     scipy.signal._arraytools
import time:       356 |        356 |                     scipy.signal._polyutils
import time:      1078 |       1830 |                   scipy.signal._filter_design
import time:       387 |        387 |                   scipy.signal._lti_conversion
import time:      1144 |     112019 |                 scipy.signal._ltisys
import time:       326 |        326 |                       scipy.ndimage._ni_support
import time:       425 |        425 |                       scipy.ndimage._nd_image
import time:       390 |        390 |                       scipy.ndimage._ni_docstrings
import time:       370 |        370 |                       scipy.ndimage._rank_filter_1d
import time:      1755 |       3265 |                     scipy.ndimage._filters
import time:       381 |        381 |                     scipy.ndimage._fourier
import time:       797 |        797 |                     scipy.ndimage._interpolation
import time:       510 |        510 |                       scipy.ndimage._ni_label
import time:       518 |        518 |                       scipy.ndimage._morphology
import time:       529 |       1556 |                     scipy.ndimage._measurements
import time:       376 |       6374 |                   scipy.ndimage._ndimage_api
import time:       393 |        393 |                   scipy.ndimage._delegators
import time:     30143 |      36909 |                 scipy.ndimage._support_alternative_backends
import time:       406 |        406 |                 scipy.ndimage.filters
import time:       312 |        312 |                 scipy.ndimage.fourier
import time:       298 |        298 |                 scipy.ndimage.interpolation
import time:       318 |        318 |                 scipy.ndimage.measurements
import time:       305 |        305 |                 scipy.ndimage.morphology
import time:       612 |        612 |                 scipy.signal._fir_filter_design
import time:       530 |        530 |                 scipy.signal._sosfilt
import time:      1460 |     206961 |               scipy.signal._signaltools
import time:       460 |     207421 |             scipy.signal._spline_filters
import time:       411 |        411 |             scipy.signal._savitzky_golay
import time:       863 |        863 |               scipy.signal._short_time_fft
import time:      1492 |       2355 |             scipy.signal._spectral_py
import time:       511 |        511 |               scipy.signal._wavelets
import time:       588 |        588 |                 scipy.stats._warnings_errors
import time:       548 |        548 |                       scipy.stats._distr_params
import time:      3638 |       3638 |                       scipy.integrate._quadrature
import time:       686 |        686 |                         scipy.integrate._odepack
import time:      1364 |       2050 |                       scipy.integrate._odepack_py
import time:       410 |        410 |                         scipy.integrate._quadpack
import time:      3407 |       3817 |                       scipy.integrate._quadpack_py
import time:       669 |        669 |                         scipy.integrate._vode
import time:       386 |        386 |                         scipy.integrate._dop
import time:       666 |       1721 |                       scipy.integrate._ode
import time:      1618 |       1618 |                       scipy.integrate._bvp
import time:       584 |        584 |                             scipy.integrate._ivp.common
import time:       419 |        419 |                             scipy.integrate._ivp.base
import time:       483 |       1484 |                           scipy.integrate._ivp.bdf
import time:       484 |        484 |                           scipy.integrate._ivp.radau
import time:       405 |        405 |                             scipy.integrate._ivp.dop853_coefficients
import time:       532 |        937 |                           scipy.integrate._ivp.rk
import time:       393 |        393 |                           scipy.integrate._ivp.lsoda
import time:      2399 |       5695 |                         scipy.integrate._ivp.ivp
import time:       411 |       6105 |                       scipy.integrate._ivp
import time:      1024 |       1024 |                       scipy.integrate._quad_vec
import time:       372 |        372 |                         scipy._lib._elementwise_iterative_method
import time:      2424 |       2796 |                       scipy.integrate._tanhsinh
import time:       548 |        548 |                           scipy.integrate._rules._base
import time:       365 |        365 |                           scipy.integrate._rules._genz_malik
import time:       367 |        367 |                             scipy.integrate._rules._gauss_legendre
import time:       339 |        706 |                           scipy.integrate._rules._gauss_kronrod
import time:       401 |       2019 |                         scipy.integrate._rules
import time:      2217 |       4235 |                       scipy.integrate._cubature
import time:       921 |        921 |                       scipy.integrate._lebedev
import time:       331 |        331 |                       scipy.integrate.dop
import time:       305 |        305 |                       scipy.integrate.lsoda
import time:       298 |        298 |                       scipy.integrate.vode
import time:       299 |        299 |                       scipy.integrate.odepack
import time:       338 |        338 |                       scipy.integrate.quadpack
import time:       330 |        330 |                       scipy.stats._finite_differences
import time:       322 |        322 |                       scipy.stats._constants
import time:       383 |        383 |                       scipy.stats._censored_data
import time:      2117 |      33186 |                     scipy.stats._distn_infrastructure
import time:      1161 |       1161 |                         scipy.special.cython_special
import time:       719 |       1880 |                       scipy.stats._stats
import time:       574 |        574 |                       scipy.stats._tukeylambda_stats
import time:       436 |        436 |                       scipy.stats._ksstats
import time:     49613 |      52501 |                     scipy.stats._continuous_distns
import time:       577 |        577 |                       scipy.stats._biasedurn
import time:       483 |        483 |                       scipy.stats._stats_pythran
import time:      8520 |       9579 |                     scipy.stats._discrete_distns
import time:       622 |        622 |                       scipy.stats._levy_stable.levyst
import time:      1840 |       2462 |                     scipy.stats._levy_stable
import time:       462 |        462 |                       scipy.stats._axis_nan_policy
import time:      2214 |       2675 |                     scipy.stats._entropy
import time:       513 |     100915 |                   scipy.stats.distributions
import time:       338 |        338 |                     scipy._lib._bunch
import time:      2510 |       2510 |                     scipy.stats._stats_mstats_common
import time:      1769 |       4617 |                   scipy.stats._mstats_basic
import time:       365 |        365 |                     scipy.stats._common
import time:      9400 |       9765 |                   scipy.stats._resampling
import time:      1114 |       1114 |                   scipy.stats._binomtest
import time:     50264 |     166673 |                 scipy.stats._stats_py
import time:      1167 |       1167 |                 scipy.stats._variation
import time:       547 |        547 |                   scipy.stats._ansari_swilk_statistics
import time:      6807 |       6807 |                     scipy.stats._hypotests
import time:       446 |       7252 |                   scipy.stats._wilcoxon
import time:      3656 |       3656 |                   scipy.stats._fit
import time:       810 |        810 |                     scipy.stats._relative_risk
import time:       525 |        525 |                     scipy.stats._crosstab
import time:       381 |        381 |                     scipy.stats._odds_ratio
import time:      1923 |       3638 |                   scipy.stats.contingency
import time:     19805 |      34897 |                 scipy.stats._morestats
import time:       502 |        502 |                       scipy.sparse.csgraph._laplacian
import time:       476 |        476 |                           scipy.sparse.csgraph._tools
import time:       338 |        813 |                         scipy.sparse.csgraph._validation
import time:       727 |       1540 |                       scipy.sparse.csgraph._shortest_path
import time:       509 |        509 |                       scipy.sparse.csgraph._traversal
import time:       501 |        501 |                       scipy.sparse.csgraph._min_spanning_tree
import time:       496 |        496 |                       scipy.sparse.csgraph._flow
import time:       485 |        485 |                       scipy.sparse.csgraph._matching
import time:       478 |        478 |                       scipy.sparse.csgraph._reordering
import time:       501 |       5009 |                     scipy.sparse.csgraph
import time:       461 |        461 |                     scipy.stats._sobol
import time:       452 |        452 |                     scipy.stats._qmc_cy
import time:      1534 |       7455 |                   scipy.stats._qmc
import time:      1663 |       9117 |                 scipy.stats._multicomp
import time:      2521 |       2521 |                 scipy.stats._binned_statistic
import time:       492 |        492 |                     scipy.stats._covariance
import time:       560 |        560 |                       scipy.stats._rcont.rcont
import time:       366 |        925 |                     scipy.stats._rcont
import time:       432 |        432 |                       scipy.stats._qmvnt_cy
import time:       413 |        844 |                     scipy.stats._qmvnt
import time:      3174 |       5433 |                   scipy.stats._multivariate
import time:       452 |       5885 |                 scipy.stats._kde
import time:       382 |        382 |                   scipy.stats._mstats_extras
import time:       417 |        799 |                 scipy.stats.mstats
import time:       304 |        304 |                 scipy.stats.qmc
import time:      1709 |       1709 |                 scipy.stats._page_trend_test
import time:      2143 |       2143 |                 scipy.stats._mannwhitneyu
import time:       815 |        815 |                 scipy.stats._bws_test
import time:      2389 |       2389 |                 scipy.stats._sensitivity_analysis
import time:      2174 |       2174 |                 scipy.stats._survival
import time:       389 |        389 |                   scipy.optimize._bracket
import time:       565 |        565 |                   scipy.optimize._chandrupatla
import time:       409 |        409 |                   scipy.stats._probability_distribution
import time:      4180 |       5542 |                 scipy.stats._distribution_infrastructure
import time:     12636 |      12636 |                 scipy.stats._new_distributions
import time:      1788 |       1788 |                 scipy.stats._mgc
import time:      2543 |       2543 |                 scipy.stats._correlation
import time:      1354 |       1354 |                 scipy.stats._quantile
import time:       311 |        311 |                 scipy.stats.biasedurn
import time:       295 |        295 |                 scipy.stats.kde
import time:       342 |        342 |                 scipy.stats.morestats
import time:       319 |        319 |                 scipy.stats.mstats_basic
import time:       337 |        337 |                 scipy.stats.mstats_extras
import time:       328 |        328 |                 scipy.stats.mvn
import time:       316 |        316 |                 scipy.stats.stats
import time:      1041 |     258318 |               scipy.stats
import time:       562 |        562 |               scipy.signal._peak_finding_utils
import time:       507 |     259896 |             scipy.signal._peak_finding
import time:       390 |        390 |             scipy.signal._czt
import time:       575 |     591360 |           scipy.signal._signal_api
import time:       470 |        470 |           scipy.signal._delegators
import time:     57401 |     785274 |         scipy.signal._support_alternative_backends
import time:       393 |        393 |         scipy.signal.bsplines
import time:       319 |        319 |         scipy.signal.filter_design
import time:       295 |        295 |         scipy.signal.fir_filter_design
import time:       293 |        293 |         scipy.signal.lti_conversion
import time:       334 |        334 |         scipy.signal.ltisys
import time:       325 |        325 |         scipy.signal.spectral
import time:       301 |        301 |         scipy.signal.signaltools
import time:       290 |        290 |         scipy.signal.waveforms
import time:       290 |        290 |         scipy.signal.wavelets
import time:       287 |        287 |         scipy.signal.spline
import time:       647 |     799655 |       scipy.signal
import time:       615 |     800270 |     soundboard.voice_fx
import time:      6439 |       6439 |                 av._core
import time:       782 |        782 |                 av.logging
import time:       325 |        325 |                 av.about
import time:       619 |        619 |                         av.buffer
import time:       601 |        601 |                               av.audio.format
import time:      1350 |       1350 |                                   av.error
import time:       668 |       2018 |                                 av.dictionary
import time:       611 |        611 |                                               av.container.pyio
import time:       429 |        429 |                                                   av.sidedata
import time:       999 |        999 |                                                         av.option
import time:       631 |       1630 |                                                       av.descriptor
import time:      1113 |       2743 |                                                     av.format
import time:       647 |        647 |                                                     av.index
import time:      1526 |       1526 |                                                         fractions
import time:       589 |       2115 |                                                       av.utils
import time:      1008 |       3122 |                                                     av.stream
import time:       866 |       7377 |                                                   av.container.streams
import time:       855 |        855 |                                                   av.sidedata.encparams
import time:       757 |        757 |                                                   av.sidedata.motionvectors
import time:      1286 |      10702 |                                                 av.sidedata.sidedata
import time:       589 |        589 |                                                 av.opaque
import time:       930 |      12221 |                                               av.packet
import time:       748 |        748 |                                               av.container.input
import time:       733 |        733 |                                               av.container.output
import time:      1534 |      15846 |                                             av.container.core
import time:       429 |      16274 |                                           av.container
import time:        37 |      16310 |                                         av.container.pyio
import time:      1292 |      17601 |                                       av.codec.context
import time:       717 |        717 |                                       av.video.format
import time:      1553 |       1553 |                                       av.video.reformatter
import time:       815 |        815 |                                       av.plane
import time:       773 |        773 |                                       av.video.plane
import time:      1489 |      22947 |                                     av.video.frame
import time:       748 |        748 |                                     av.video.stream
import time:       382 |      24076 |                                   av.video
import time:        21 |      24096 |                                 av.video.format
import time:       983 |      27096 |                               av.codec.hwaccel
import time:      1587 |      29283 |                             av.codec.codec
import time:       366 |      29648 |                           av.codec
import time:        27 |      29675 |                         av.codec.codec
import time:       785 |      31078 |                       av.frame
import time:      3016 |       3016 |                       av.audio.layout
import time:       709 |        709 |                       av.audio.plane
import time:       965 |      35766 |                     av.audio.frame
import time:       685 |        685 |                     av.audio.stream
import time:       366 |      36816 |                   av.audio
import time:       641 |        641 |                             av.filter.link
import time:       902 |       1542 |                           av.filter.context
import time:       769 |       2311 |                         av.filter.graph
import time:      1010 |       3320 |                       av.filter.filter
import time:       682 |        682 |                       av.filter.loudnorm
import time:       395 |       4396 |                     av.filter
import time:        19 |       4414 |                   av.filter.filter
import time:       708 |        708 |                   av.audio.resampler
import time:       741 |      42678 |                 av.audio.codeccontext
import time:       716 |        716 |                 av.audio.fifo
import time:       690 |        690 |                 av.bitstream
import time:       659 |        659 |                 av.device
import time:       722 |        722 |                 av.video.codeccontext
import time:       851 |      53859 |               av
import time:       653 |        653 |                     jinja2.bccache
import time:       616 |        616 |                         markupsafe._speedups
import time:       841 |       1456 |                       markupsafe
import time:      1824 |       1824 |                         jinja2.utils
import time:      1870 |       3694 |                       jinja2.nodes
import time:       520 |        520 |                         jinja2.exceptions
import time:       338 |        338 |                           jinja2.visitor
import time:       594 |        931 |                         jinja2.idtracking
import time:       334 |        334 |                         jinja2.optimizer
import time:      1330 |       3114 |                       jinja2.compiler
import time:       479 |        479 |                           jinja2.async_utils
import time:      1209 |       1209 |                           jinja2.runtime
import time:      1481 |       3167 |                         jinja2.filters
import time:       484 |        484 |                         jinja2.tests
import time:       357 |       4007 |                       jinja2.defaults
import time:       935 |        935 |                         jinja2._identifier
import time:      1840 |       2774 |                       jinja2.lexer
import time:       769 |        769 |                       jinja2.parser
import time:      1660 |      17472 |                     jinja2.environment
import time:       787 |        787 |                     jinja2.loaders
import time:       686 |      19597 |                   jinja2
import time:       519 |        519 |                   importlib.resources._adapters
import time:       322 |        322 |                       importlib.resources._itertools
import time:       485 |        807 |                     importlib.resources.readers
import time:       381 |       1188 |                   importlib.readers
import time:       506 |      21809 |                 audiolab.av.utils
import time:       523 |      22332 |               audiolab.av.filter
import time:       673 |        673 |                   audiolab.av.typing
import time:       947 |        947 |                   encodings.unicode_escape
import time:    216124 |     217743 |                 audiolab.av.format
import time:     21842 |     239584 |               audiolab.av.codec
import time:     13447 |      13447 |               audiolab.av.container
import time:       547 |        547 |               audiolab.av.frame
import time:       783 |        783 |                 audiolab.av.layout
import time:       514 |       1296 |               audiolab.av.graph
import time:       498 |        498 |                       quopri
import time:       463 |        463 |                         email._parseaddr
import time:       612 |       1074 |                       email.utils
import time:       583 |        583 |                       email.errors
import time:       440 |        440 |                           email.quoprimime
import time:       346 |        346 |                           email.base64mime
import time:       681 |        681 |                             email.encoders
import time:       406 |       1086 |                           email.charset
import time:       718 |       2589 |                         email.header
import time:       501 |       3089 |                       email._policybase
import time:       456 |        456 |                       email._encoded_words
import time:       352 |        352 |                       email.iterators
import time:       947 |       6996 |                     email.message
import time:       365 |        365 |                     importlib.metadata._text
import time:       557 |       7917 |                   importlib.metadata._adapters
import time:       685 |        685 |                     email.feedparser
import time:       415 |       1100 |                   email.parser
import time:       305 |        305 |                     smart_open.local_file
import time:       326 |        326 |                     smart_open.compression
import time:       588 |        588 |                           wrapt.wrappers
import time:       672 |        672 |                           wrapt._wrappers
import time:       508 |       1767 |                         wrapt.__wrapt__
import time:       422 |        422 |                           wrapt.arguments
import time:       476 |        897 |                         wrapt.decorators
import time:       438 |        438 |                         wrapt.importer
import time:       355 |        355 |                         wrapt.patches
import time:       394 |        394 |                         wrapt.proxies
import time:       333 |        333 |                         wrapt.weakrefs
import time:       810 |       4992 |                       wrapt
import time:       381 |       5373 |                     smart_open.utils
import time:       337 |        337 |                         smart_open.bytebuffer
import time:       289 |        289 |                         smart_open.constants
import time:       343 |        343 |                             azure
import time:        19 |        361 |                           azure.core
import time:        16 |        377 |                         azure.core.exceptions
import time:      1584 |       1584 |                           _ssl
import time:      2419 |       4003 |                         ssl
import time:      5529 |       5529 |                         ftplib
import time:       349 |        349 |                             google
import time:        21 |        369 |                           google.cloud
import time:        23 |        392 |                         google.cloud.exceptions
import time:      1095 |       1095 |                                 http
import time:      1454 |       2549 |                               http.client
import time:       955 |       3504 |                             urllib3.exceptions
import time:       465 |        465 |                                     urllib3.util.timeout
import time:      1177 |       1642 |                                   urllib3.util.connection
import time:       303 |        303 |                                     urllib3.util.util
import time:       335 |        335 |                                     brotlicffi
import time:       355 |        355 |                                     brotli
import time:       320 |        320 |                                     backports
import time:       656 |       1968 |                                   urllib3.util.request
import time:       320 |        320 |                                   urllib3.util.response
import time:       594 |        594 |                                   urllib3.util.retry
import time:      4997 |       4997 |                                     urllib3.util.url
import time:       426 |        426 |                                     urllib3.util.ssltransport
import time:       470 |       5891 |                                   urllib3.util.ssl_
import time:       328 |        328 |                                   urllib3.util.wait
import time:       504 |      11245 |                                 urllib3.util
import time:        34 |      11279 |                               urllib3.util.connection
import time:       773 |      12051 |                             urllib3._base_connection
import time:       709 |        709 |                             urllib3._collections
import time:       308 |        308 |                             urllib3._version
import time:       551 |        551 |                                     mimetypes
import time:       402 |        953 |                                   urllib3.fields
import time:       415 |       1367 |                                 urllib3.filepost
import time:       353 |        353 |                                   brotlicffi
import time:       325 |        325 |                                   brotli
import time:       380 |        380 |                                     urllib3.http2
import time:       456 |        456 |                                     urllib3.http2.probe
import time:       432 |        432 |                                     urllib3.util.ssl_match_hostname
import time:       874 |       2140 |                                   urllib3.connection
import time:       358 |        358 |                                   backports
import time:       756 |       3930 |                                 urllib3.response
import time:       584 |       5880 |                               urllib3._request_methods
import time:       394 |        394 |                               urllib3.util.proxy
import time:       550 |       6822 |                             urllib3.connectionpool
import time:      1041 |       1041 |                             urllib3.poolmanager
import time:       772 |      25205 |                           urllib3
import time:       657 |        657 |                               simplejson
import time:       389 |        389 |                                     urllib.response
import time:       404 |        793 |                                   urllib.error
import time:       439 |        439 |                                   nturl2path
import time:      1545 |       2775 |                                 urllib.request
import time:      1011 |       1011 |                                 calendar
import time:      2507 |       6292 |                               http.cookiejar
import time:      1251 |       1251 |                               http.cookies
import time:       737 |       8935 |                             requests.compat
import time:       726 |       9660 |                           requests.exceptions
import time:       353 |        353 |                           chardet
import time:       698 |        698 |                                 idna.idnadata
import time:       400 |        400 |                                 idna.intranges
import time:      1031 |       2129 |                               idna.core
import time:       373 |        373 |                               idna.package_data
import time:       641 |       3142 |                             idna
import time:       769 |       3911 |                           requests.packages
import time:       431 |        431 |                                 certifi.core
import time:       735 |       1166 |                               certifi
import time:       332 |       1497 |                             requests.certs
import time:       290 |        290 |                             requests.__version__
import time:       606 |        606 |                             requests._internal_utils
import time:       491 |        491 |                             requests.cookies
import time:       371 |        371 |                             requests.structures
import time:       813 |       4066 |                           requests.utils
import time:       438 |        438 |                                 requests.auth
import time:       580 |        580 |                                     stringprep
import time:       464 |       1044 |                                   encodings.idna
import time:       304 |        304 |                                   requests.hooks
import time:       509 |        509 |                                   requests.status_codes
import time:       588 |       2445 |                                 requests.models
import time:       361 |        361 |                                   urllib3.contrib
import time:       349 |        349 |                                   socks
import time:       503 |       1212 |                                 urllib3.contrib.socks
import time:       833 |       4926 |                               requests.adapters
import time:       443 |       5369 |                             requests.sessions
import time:       343 |       5711 |                           requests.api
import time:       769 |      49670 |                         requests
import time:       351 |        351 |                         boto3
import time:       428 |        428 |                           concurrent.futures.thread
import time:       357 |        785 |                         smart_open.concurrency
import time:       343 |        343 |                           termios
import time:       478 |        821 |                         getpass
import time:       325 |        325 |                         paramiko
import time:      4191 |      67064 |                       smart_open.transport
import time:       373 |      67436 |                     smart_open.doctools
import time:       977 |      74416 |                   smart_open.smart_open_lib
import time:      1994 |      85425 |                 smart_open
import time:       506 |      85931 |               audiolab.av.lhotse
import time:       662 |     417656 |             audiolab.av
import time:       509 |        509 |                   audiolab.reader.backend.backend
import time:       461 |        461 |                   audiolab.reader.backend.pyav
import time:       411 |        411 |                   audiolab.reader.backend.soundfile
import time:       721 |        721 |                     wave
import time:       377 |       1098 |                   audiolab.reader.backend.wave
import time:       518 |       2996 |                 audiolab.reader.backend
import time:       440 |        440 |                     humanize.filesize
import time:       333 |        333 |                     humanize.i18n
import time:       296 |        296 |                     humanize.lists
import time:       377 |        377 |                     humanize.number
import time:       516 |        516 |                     humanize.time
import time:       304 |        304 |                     humanize._version
import time:      2693 |       4958 |                   humanize
import time:       502 |       5460 |                 audiolab.reader.info
import time:       391 |        391 |                 audiolab.reader.reader
import time:       391 |        391 |                 audiolab.reader.stream_reader
import time:       475 |       9710 |               audiolab.reader
import time:       372 |      10082 |             audiolab.pipe
import time:       449 |        449 |                   audiolab.writer.backend.backend
import time:       351 |        351 |                   audiolab.writer.backend.pyav
import time:       331 |        331 |                   audiolab.writer.backend.soundfile
import time:       358 |        358 |                   audiolab.writer.backend.wave
import time:       381 |       1869 |                 audiolab.writer.backend
import time:       490 |       2358 |               audiolab.writer.writer
import time:       374 |       2731 |             audiolab.writer
import time:       667 |     431134 |           audiolab
