import time: self [us] | cumulative | imported package
import time:       436 |        436 |                       numpy._typing._nbit
import time:       346 |        346 |                       numpy._typing._scalars
import time:       303 |        303 |                       numpy._typing._ufunc
import time:       565 |       9068 |                     numpy._typing
import time:       437 |        437 |                       numpy.lib._stride_tricks_impl
import time:       523 |        959 |                     numpy.lib._twodim_base_impl
import time:       307 |        307 |                       numpy.lib._array_utils_impl
import time:       318 |        624 |                     numpy.lib.array_utils
import time:       562 |        562 |                     numpy.linalg._umath_linalg
import time:      1786 |      12997 |                   numpy.linalg._linalg
import time:       423 |      13420 |                 numpy.linalg
import time:       627 |      14047 |               numpy.matrixlib.defmatrix
import time:       488 |      14534 |             numpy.matrixlib
import time:       536 |        536 |               numpy.lib._histograms_impl
import time:      1302 |       1838 |             numpy.lib._function_base_impl
import time:       727 |      17097 |           numpy.lib._index_tricks_impl
import time:       723 |      20743 |         numpy.lib._arraypad_impl
import time:      1167 |       1167 |         numpy.lib._arraysetops_impl
import time:       508 |        508 |         numpy.lib._arrayterator_impl
import time:       669 |        669 |         numpy.lib._nanfunctions_impl
import time:      1542 |       1542 |                   _wmi
import time:      1520 |       3062 |                 platform
import time:       495 |       3557 |               numpy.lib._utils_impl
import time:       466 |       4022 |             numpy.lib._format_impl
import time:       374 |       4395 |           numpy.lib.format
import time:       601 |        601 |           numpy.lib._datasource
import time:       758 |        758 |           numpy.lib._iotools
import time:       913 |       6666 |         numpy.lib._npyio_impl
import time:       390 |        390 |             numpy.lib._ufunclike_impl
import time:       474 |        864 |           numpy.lib._type_check_impl
import time:       752 |       1616 |         numpy.lib._polynomial_impl
import time:       574 |        574 |         numpy.lib._shape_base_impl
import time:       360 |        360 |         numpy.lib._version
import time:       368 |        368 |         numpy.lib.introspect
import time:       380 |        380 |         numpy.lib.mixins
import time:       298 |        298 |         numpy.lib.npyio
import time:       510 |        510 |           numpy.lib._scimath_impl
import time:       304 |        813 |         numpy.lib.scimath
import time:       354 |        354 |         numpy.lib.stride_tricks
import time:       787 |      35296 |       numpy.lib
import time:       406 |        406 |       numpy._array_api_info
import time:      2008 |      95935 |     numpy
import time:       514 |        514 |       ctypes.util
import time:      1147 |       1147 |         _cffi_backend
import time:       667 |       1814 |       _sounddevice
import time:      2028 |       2028 |         _socket
import time:       766 |        766 |           select
import time:       996 |       1762 |         selectors
import time:      1645 |       5434 |       socket
import time:       873 |        873 |       _sounddevice_data
import time:   2886327 |    2894960 |     sounddevice
import time:       628 |        628 |       _soundfile
import time:       613 |        613 |       _soundfile_data
import time:      1753 |       2993 |     soundfile
import time:      1028 |       1028 |       colour
import time:        55 |         55 |               _json
import time:       714 |        768 |             json.scanner
import time:       770 |       1537 |           json.decoder
import time:       569 |        569 |           json.encoder
import time:       594 |       2700 |         json
import time:       439 |        439 |         emoji_data_python.conversion
import time:       436 |        436 |         emoji_data_python.emoji_char
import time:       400 |        400 |         emoji_data_python.replacement
import time:       324 |        324 |         emoji_data_python.search
import time:     22483 |      26780 |       emoji_data_python
import time:       897 |      28705 |     soundboard.constants
import time:       822 |        822 |           scipy.__config__
import time:       360 |        360 |           scipy.version
import time:        82 |         82 |             scipy._distributor_init_local
import time:       334 |        416 |           scipy._distributor_init
import time:      1396 |       1396 |               sysconfig
import time:       684 |        684 |                 importlib._abc
import time:       193 |        877 |               importlib.util
import time:       384 |        384 |               cython
import time:       183 |        183 |               _sysconfig
import time:      1454 |       4292 |             scipy._lib._testutils
import time:       376 |       4668 |           scipy._lib
import time:      1635 |       1635 |           scipy._lib._pep440
import time:       551 |        551 |               scipy._cyutility
import time:       714 |       1264 |             scipy._lib._ccallback_c
import time:       512 |       1775 |           scipy._lib._ccallback
import time:       941 |      10615 |         scipy
import time:       518 |        518 |               copy
import time:       894 |       1411 |             dataclasses
import time:      1029 |       1029 |               numpy._typing._add_docstring
